ID,Location,Description,Weapon,Post
19293,0 N MORLEY ST,I,OTHER,842
19294,4900 BELAIR RD,O,HANDS,443
19295,4300 WEST BAY AVE,I,OTHER,911
19296,0 W FAYETTE ST,O,OTHER,111
19297,1800 N CAROLINE ST,O,OTHER,343
19298,600 ALLENDALE ST,O,OTHER,844
19299,200 E BALTIMORE ST,I,OTHER,111
19300,700 N LUZERNE AVE,O,OTHER,323
19301,800 1 & 2 MCHENRY ST,O,OTHER,932
19302,200 S REGESTER ST,O,OTHER,212
19303,3300 SOUTHERN AVE,I,HANDS,426
19304,1100 W SARATOGA ST,O,FIREARM,712
19305,6300 FRANKFORD AVE,O,OTHER,444
19306,500 S CASTLE ST,O,OTHER,213
19307,5700 N CHARLES ST,I,OTHER,521
19308,4000 FORDLEIGH RD,O,HANDS,632
19309,4000 KATHLAND AVE,I,OTHER,621
19310,4200 POWELL AV,O,OTHER,445
19311,500 DENISON ST,I,HANDS,843
19312,4300 WEST BAY AV,I,OTHER,911
19313,1500 HAVENWOOD RD,O,HANDS,412
19314,1500 GLENEAGLE RD,O,OTHER,415
19315,200 E LEXINGTON ST,I,OTHER,111
19316,2000 W BALTIMORE ST,I,HANDS,714
19317,3700 RAVENWOOD AVE,O,OTHER,432
19318,5300 YORK RD,I,OTHER,523
19319,500 E 25TH ST,I,OTHER,342
19320,900 RAMSAY ST,O,OTHER,932
19321,300 S EDEN ST,O,OTHER,211
19322,400 CALLENDAR ST,O,OTHER,932
19323,5900 WINTHROPE AVE,O,FIREARM,425
19324,,I,HANDS,815
19325,5900 WINTHROPE AV,O,FIREARM,425
19326,5900 WINTHROPE AV,O,FIREARM,425
19327,5500 DENVIEW WAY,I,FIREARM,444
19328,3000 SPAULDING AVE,O,OTHER,614
19329,6400 BUSHEY ST,O,OTHER,243
19330,200 TUNBRIDGE RD,I,OTHER,523
19331,400 N EAST AVE,O,HANDS,224
19332,3700 W BELVEDERE AVE,I,OTHER,633
19333,300 N GAY ST,O,OTHER,312
19334,600 E PRATT ST,I,OTHER,112
19335,400 N EAST AVE,O,OTHER,224
19336,5500 DENVIEW WY,O,FIREARM,444
19337,300 E LANVALE ST,O,FIREARM,311
19338,400 N ELLWOOD AVE,O,OTHER,224
19339,200 E PRATT ST,I,OTHER,112
19340,2000 MARYLAND AVE,I,KNIFE,514
19341,2000 MARYLAND AVE,I,KNIFE,514
19342,1200 VIOLETTE AVE,O,OTHER,832
19343,0 N KRESSON ST,I,HANDS,241
19344,600 W 33RD ST,I,KNIFE,531
19345,0 W HAMILTON ST,O,FIREARM,142
19346,3500 FAIRVIEW AVE,O,OTHER,642
19347,300 N SMALLWOOD ST,O,OTHER,714
19348,AV & N ROGERS AV,O,OTHER,623
19349,1300 N CAREY ST,O,FIREARM,743
19350,3000 TEMPLE GATE,O,FIREARM,632
19351,2700 PORT COVINGTON DR,I,OTHER,943
19352,2100 SIDNEY AVE,O,OTHER,921
19353,1300 N CAREY ST,O,FIREARM,743
19354,200 CEDARCROFT RD,I,OTHER,522
19355,1900 BOONE ST,O,OTHER,342
19356,200 CEDARCROFT RD,I,OTHER,522
19357,100 N PATTERSON PARK AVE,O,FIREARM,212
19358,4400 BUCHANAN AVE,O,OTHER,541
19359,4000 GARRISON BLVD,O,FIREARM,621
19360,700 E EAGER ST,O,FIREARM,311
19361,4000 GARRISON BLVD,O,FIREARM,621
19362,700 E EAGER ST,I,FIREARM,311
19363,2800 CHESTERFIELD AVE,I,HANDS,432
19364,6400 PIONEER DR,I,OTHER,423
19365,1000 WOODBOURNE AVE,O,HANDS,523
19366,3500 DENNLYN RD,O,OTHER,643
19367,400 N ROSE ST,O,HANDS,221
19368,400 N ROSE ST,O,HANDS,221
19369,2800 TANEY RD,I,OTHER,632
19370,1000 N MOUNT ST,O,HANDS,743
19371,500 MOUNT HOLLY ST,I,HANDS,843
19372,500 BRISBANE RD,O,FIREARM,833
19373,3500 LABYRINTH RD,I,OTHER,632
19374,300 S BEECHFIELD AVE,I,HANDS,833
19375,500 N CAROLINE ST,I,HANDS,321
19376,1400 ORLEANS ST,I,HANDS,321
19377,3200 PRESSTMAN ST,I,FIREARM,813
19378,900 WOODBOURNE AVE,I,HANDS,523
19379,6700 PULASKI HWY,I,OTHER,441
19380,100 S CAROLINE ST,I,OTHER,212
19381,1900 CLIFTON AVE,I,OTHER,731
19382,4300 BELAIR,O,OTHER,422
19383,600 N HILTON ST,O,OTHER,844
19384,1400 LIGHT ST,O,OTHER,942
19385,4400 GLENARM AVE,I,OTHER,445
19386,500 W PRESTON ST,I,OTHER,121
19387,2000 BROENING HWY,I,OTHER,233
19388,3400 LABYRINTH RD,I,OTHER,632
19389,2100 W PATAPSCO AVE,I,OTHER,923
19390,5000 RAINTREE WAY,I,OTHER,442
19391,100 N DECKER AVE,I,FIREARM,222
19392,1000 N AUGUSTA AVE,I,OTHER,844
19393,1500 S CATON AVE,I,OTHER,832
19394,5500 SAGRA RD,O,OTHER,414
19395,5200 CATALPHA RD,O,OTHER,423
19396,800 N FRANKLINTOWN RD,I,OTHER,814
19397,400 S EXETER ST,O,OTHER,211
19398,3300 DOLFIELD AVE,O,OTHER,643
19399,2300 WINCHESTER ST,O,OTHER,723
19400,300 GUSRYAN ST,I,OTHER,241
19401,2500 LINDEN AVE,O,OTHER,133
19402,3800 FAIRHAVEN AVE,I,OTHER,911
19403,3700 KOPPERS ST,O,OTHER,832
19404,4700 KERNWOOD AVE,I,OTHER,521
19405,1200 N BOND ST,I,OTHER,343
19406,100 N CLINTON ST,I,HANDS,222
19407,300 E MADISON ST,O,OTHER,312
19408,600 S CHAPELGATE LN,I,HANDS,833
19409,2500 CECIL AVE,I,OTHER,411
19410,4700 ROLAND AVE,I,OTHER,541
19411,2300 EVERGREEN ST,O,OTHER,731
19412,0 E FAYETTE ST,I,OTHER,111
19413,1800 N WASHINGTON ST,I,OTHER,331
19414,2000 N WOLF ST,I,OTHER,342
19415,100 E 23RD ST,O,OTHER,514
19416,200 E 21ST ST,I,HANDS,514
19417,3700 SPAULDING AVE,O,OTHER,613
19418,5600 N CHARLES ST,O,OTHER,523
19419,300 N HOWARD ST,O,OTHER,111
19420,4400 OLD YORK RD,I,OTHER,524
19421,0 WHEELER AVE,I,OTHER,714
19422,2300 GWYNNS FALLS PKWY,I,OTHER,731
19423,1100 VALLEY ST,I,OTHER,311
19424,6500 PARSONS AVE,I,OTHER,631
19425,6400 PIONEER DR,I,OTHER,423
19426,6400 PIONEER DR,I,OTHER,423
19427,5200 SAYBROOK RD,I,OTHER,441
19428,900 N CAROLINE ST,I,OTHER,313
19429,1200 W NORTH AVE,O,OTHER,733
19430,6500 EBERLEE DR,O,OTHER,631
19431,1900 WILKENS AVE,O,OTHER,934
19432,100 E BALTIMORE ST,I,OTHER,111
19433,1800 WILKENS AVE,I,OTHER,934
19434,600 APPLETON ST,I,HANDS,722
19435,1600 PENNSYLVANIA AVE,I,OTHER,123
19436,100 S STRICKER ST,O,FIREARM,933
19437,100 S STRICKER ST,O,OTHER,933
19438,2000 BENHILL AVE,I,OTHER,912
19439,3800 GREENSPRING AVE,I,OTHER,612
19440,900 N FRANKLINTOWN RD,O,OTHER,814
19441,500 E 25TH ST,I,OTHER,342
19442,3200 HOLLINS FERRY RD,O,HANDS,923
19443,100 S CAROLINE ST,O,OTHER,212
19444,100 W 25TH ST,O,OTHER,512
19445,2400 BOSTON ST,I,OTHER,232
19446,0 N MILTON AVE,I,OTHER,221
19447,500 N CALVERT ST,I,HANDS,142
19448,4200 GROVELAND AVE,O,OTHER,621
19449,1700 HOLLINS ST,O,FIREARM,933
19450,4200 GROVELAND AVE,O,OTHER,621
19451,2700 GILES RD,I,OTHER,922
19452,500 CHARING CROSS RD,O,OTHER,823
19453,6800 MCCLEAN BLVD,I,OTHER,423
19454,6200 TRAMORE RD,O,OTHER,423
19455,,O,OTHER,221
19456,4200 DORIS AVE,O,OTHER,913
19457,900 W NORTH,I,OTHER,133
19458,1700 N SMALLWOOD ST,O,FIREARM,723
19459,4800 BOWLAND AVE,I,HANDS,443
19460,1100 BOLTON ST,I,FIREARM,132
19461,2600 SEAMON AVE,I,OTHER,922
19462,,O,OTHER,831
19463,800 W PATAPSCO AVE,O,OTHER,922
19464,5600 GOVANE AVE,I,OTHER,523
19465,3800 E LOMBARD ST,I,OTHER,223
19466,300 SAINT PAUL ST,I,OTHER,111
19467,1700 W LANVALE ST,I,OTHER,713
19468,900 BROOKS LN,I,OTHER,133
19469,4900 GOODNOW RD,I,OTHER,443
19470,1900 BELAIR RD,O,OTHER,331
19471,3600 DOLFIELD AVE,I,OTHER,643
19472,4800 NORWOOD RD,O,OTHER,521
19473,5400 MOORES RUN DR,O,HANDS,441
19474,LAFAYETTE AV & N MONROE ST,O,OTHER,743
19475,1400 MOUNTMOR CT,I,HANDS,743
19476,5100 REISTERSTOWN RD,I,FIREARM,613
19477,2100 MCCULLOH ST,O,FIREARM,131
19478,5900 PARK HEIGHTS AVE,O,OTHER,632
19479,500 W FRANKLIN ST,O,OTHER,143
19480,2300 HARGROVE ST,O,FIREARM,514
19481,5500 NARCISSUS AVE,O,OTHER,633
19482,1300 MCCULLOH ST,I,HANDS,123
19483,4700 CHATFORD AVE,O,OTHER,442
19484,3500 KEENE AVE,I,OTHER,425
19485,2100 CRIMEA RD,O,OTHER,821
19486,4000 W BELVEDERE AVE,O,OTHER,623
19487,400 E LANVALE ST,I,OTHER,311
19488,500 HOLLEN RD,O,OTHER,522
19489,3500 4TH ST,I,HANDS,913
19490,200 N MILTON AVE,O,FIREARM,221
19491,200 N MILTON AVE,O,FIREARM,221
19492,1100 BONAPARTE AVE,O,OTHER,342
19493,3000 BELMONT AVE,I,OTHER,813
19494,4000 CLARKS LN,I,OTHER,632
19495,400 S PAYSON ST,I,OTHER,934
19496,2800 N CALVERT ST,O,OTHER,512
19497,2500 FRANCIS ST,O,OTHER,733
19498,1300 CROFTON RD,O,OTHER,413
19499,3100 WILKENS AVE,O,OTHER,832
19500,3700 WOODLEA AVE,O,FIREARM,426
19501,3700 WOODLEA AVE,O,FIREARM,426
19502,5800 WESTERN RUN DR,O,OTHER,632
19503,1100 GUILFORD AVE,O,OTHER,141
19504,3400 BELAIR RD,O,FIREARM,432
19505,2200 ELSINORE AVE,O,OTHER,812
19506,2200 ELSINORE AVE,O,OTHER,812
19507,2200 ELSINORE AVE,O,OTHER,812
19508,1000 N BROADWAY,I,OTHER,322
19509,2200 ELSINORE AVE,O,OTHER,812
19510,2400 WOODBROOK AVE,O,OTHER,733
19511,3600 BOWERS AVE,I,OTHER,623
19512,1500 N CALVERT ST,O,OTHER,141
19513,3600 SEQUOIA AVE,O,OTHER,643
19514,3500 4TH ST,I,HANDS,913
19515,4700 GRINDON AVE,I,OTHER,421
19516,4800 REISTERSTOWN RD,O,OTHER,613
19517,900 E 41ST ST,I,HANDS,542
19518,2400 MCCULLOH ST,I,HANDS,733
19519,100 S MORLEY ST,I,OTHER,842
19520,100 E BALTIMORE ST,I,OTHER,111
19521,600 APPLETON ST,I,OTHER,722
19522,2800 PELHAM AVE,I,OTHER,432
19523,1000 W CROSS ST,I,OTHER,932
19524,100 E BALTIMORE ST,I,OTHER,111
19525,6400 PULASKI HWY,I,OTHER,241
19526,1900 E MADISON ST,O,OTHER,321
19527,3600 BOWERS AVE,I,OTHER,623
19528,500 LAURENS ST,I,OTHER,123
19529,200 E PRATT ST,I,OTHER,112
19530,3900 6TH ST,I,OTHER,913
19531,600 HIGHWOOD DR,I,OTHER,522
19532,300 LIGHT ST,I,OTHER,112
19533,6300 GREEN MEADOW PKWY,I,OTHER,632
19534,2800 PARKVIEW TER,I,HANDS,421
19535,2800 PARKVIEW TER,I,HANDS,421
19536,700 E PATAPSCO AVE,I,HANDS,912
19537,700 E PATAPSCO AVE,I,HANDS,912
19538,,I,OTHER,911
19539,5400 RADECKE AVE,I,HANDS,444
19540,2600 PENNSYLVANIA AVE,I,HANDS,733
19541,,O,HANDS,531
19542,2100 E PRESTON ST,O,OTHER,331
19543,2700 E PRESTON ST,O,OTHER,332
19544,3300 ESTHER PL,O,FIREARM,222
19545,3300 ESTHER PL,O,FIREARM,222
19546,700 NOTTINGHAM RD,I,OTHER,822
19547,700 NOTTINGHAM RD,I,OTHER,822
19548,700 NOTTINGHAM RD,I,OTHER,822
19549,700 NOTTINGHAM RD,I,OTHER,822
19550,700 NOTTINGHAM RD,I,OTHER,822
19551,2000 GWYNNS FALLS PKWY,I,HANDS,731
19552,1100 VALLEY ST,I,OTHER,311
19553,3700 MOHAWK AVE,O,OTHER,622
19554,4900 EASTERN AV,I,OTHER,242
19555,3100 DUDLEY AVE,O,OTHER,432
19556,3300 SAINT AMBROSE AVE,O,OTHER,614
19557,2100 SIDNEY AVE,I,OTHER,921
19558,100 DENISON ST,O,OTHER,843
19559,400 E 25TH ST,O,OTHER,513
19560,500 E NORTH AVE,O,HANDS,342
19561,1200 W PRATT ST,I,OTHER,932
19562,400 W SARATOGA ST,O,KNIFE,111
19563,2300 MCCULLOH ST,O,HANDS,733
19564,100 S POPPLETON ST,O,OTHER,931
19565,1300 BELT ST,I,OTHER,943
19566,1200 PRATT ST,I,OTHER,211
19567,2400 LIBERTY HEIGHTS AVE,O,OTHER,731
19568,2900 STRANDEN RD,O,HANDS,923
19569,2800 HOLLINS FERRY RD,I,OTHER,923
19570,2600 AISQUITH ST,I,OTHER,411
19571,400 N PACA ST,O,HANDS,121
19572,400 N PACA ST,O,HANDS,121
19573,1700 COLE ST,I,OTHER,935
19574,600 N FRANKLINTOWN RD,I,OTHER,721
19575,1800 BLOOMINGDALE RD,O,HANDS,813
19576,2400 GREENMOUNT AVE,I,FIREARM,341
19577,1600 CHARLOTTE AVE,I,OTHER,243
19578,200 N HIGHLAND AVE,O,OTHER,224
19579,200 S HIGHLAND AVE,O,OTHER,231
19580,4100 FREDERICK AVE,I,FIREARM,843
19581,1200 W PRATT ST,I,OTHER,932
19582,400 N COLLINGTON AVE,O,OTHER,321
19583,4800 YELLOWWOOD AVE,I,HANDS,533
19584,300 COLVIN ST,O,OTHER,211
19585,400 LYMAN AVE,O,OTHER,523
19586,6600 EBERLE DR,O,OTHER,631
19587,3100 CLARKS LN,O,FIREARM,632
19588,1700 E LANVALE ST,O,OTHER,331
19589,100 S LOUDON AVE,I,OTHER,843
19590,0 N HILTON ST,I,OTHER,842
19591,3000 BRENDAN AVE,O,OTHER,432
19592,4500 EDMONDSON AVE,O,OTHER,822
19593,3500 DUDLEY AVE,O,OTHER,432
19594,1100 ELBANK AVE,O,OTHER,522
19595,2400 E LAFAYETTE AVE,I,OTHER,331
19596,1600 WINFORD RD,O,OTHER,415
19597,2400 N CHARLES ST,I,OTHER,514
19598,3800 BOWERS AVE,O,OTHER,623
19599,1000 PINE HEIGHTS AVE,O,OTHER,832
19600,300 S AUGUSTA AVE,O,OTHER,833
19601,4300 ADELLE TER,I,HANDS,843
19602,3000 MCELDERRY ST,I,KNIFE,224
19603,3000 MCELDERRY ST,I,KNIFE,224
19604,3000 MCELDERRY ST,I,KNIFE,224
19605,3000 MCELDERRY ST,I,KNIFE,224
19606,3000 MCELDERRY ST,O,KNIFE,224
19607,1400 PENNSYLVANIA AVE,I,HANDS,123
19608,1300 E NORTHERN PKWY,I,OTHER,414
19609,400 S PAYSON ST,I,OTHER,934
19610,700 N CALHOUN ST,O,OTHER,713
19611,1800 N MONROE ST,I,OTHER,742
19612,4500 FAIRVIEW AVE,O,OTHER,641
19613,2500 AISQUITH ST,I,OTHER,411
19614,2500 MARBOURNE AVE,O,OTHER,923
19615,4000 BELLE AVE,O,FIREARM,621
19616,1600 SHADYSIDE RD,O,OTHER,412
19617,600 BROOKWOOD RD,I,OTHER,822
19618,3900 8TH ST,O,HANDS,913
19619,1600 E CHASE ST,O,OTHER,313
19620,6100 MOYER AVE,O,OTHER,424
19621,3700 PARK HEIGHTS AVE,O,OTHER,612
19622,2000 ORLEANS ST,I,OTHER,321
19623,1200 BONAPARTE AVE,O,OTHER,342
19624,2000 BROENING HWY,I,OTHER,233
19625,6300 EASTERN AVE,O,OTHER,242
19626,1300 ARGONNE DR,O,OTHER,413
19627,400 E LEXINGTON ST,I,HANDS,111
19628,1300 E COLD SPRING LN,O,OTHER,413
19629,1100 W HAMBURG ST,O,HANDS,932
19630,3900 MAINE AVE,I,OTHER,621
19631,1600 LOCHWOOD RD,O,OTHER,412
19632,600 N CLINTON ST,I,OTHER,224
19633,5300 CARRIAGE CT,I,FIREARM,823
19634,200 E BALTIMORE ST,O,OTHER,111
19635,1400 MCCULLOH ST,I,OTHER,123
19636,1000 FAWN ST,I,OTHER,211
19637,3000 E FAYETTE ST,O,OTHER,224
19638,2400 W ROGERS AVE,O,OTHER,533
19639,1100 N EUTAW ST,O,OTHER,132
19640,800 STILES ST,I,OTHER,211
19641,100 LLOYD ST,I,OTHER,211
19642,4000 LIBERTY HEIGHTS AVE,O,OTHER,621
19643,1800 W LANVALE ST,I,OTHER,722
19644,4000 FERNHILL AVE,I,OTHER,621
19645,3200 INDEPENDENCE AVE,O,FIREARM,412
19646,400 E PRESTON ST,I,KNIFE,311
19647,2100 WILHELM ST,I,OTHER,841
19648,600 CHERATON RD,O,OTHER,922
19649,400 S CAREY ST,O,OTHER,935
19650,6100 GREENSPRING AVE,I,OTHER,632
19651,500 E 23RD ST,I,OTHER,342
19652,1900 N ELLAMONT ST,I,OTHER,811
19653,3000 SEABURY RD,I,OTHER,922
19654,5300 YORK RD,O,OTHER,523
19655,2200 BOYER ST,I,OTHER,212
19656,2200 KERNAN DR,I,OTHER,821
19657,2800 DENHAM CIR N,O,OTHER,922
19658,200 E 21ST ST,I,OTHER,514
19659,2600 GWYNNS FALLS PKWY,I,FIREARM,731
19660,2500 W LOMBARD ST,O,OTHER,842
19661,6300 ERDMAN AVE,O,OTHER,241
19662,800 E BELVEDERE AVE,I,OTHER,523
19663,6500 EASTERN AVE,O,OTHER,241
19664,2400 GREENMOUNT AVE,I,OTHER,341
19665,3800 W STRATHMORE AVE,O,OTHER,632
19666,100 KANE ST,I,FIREARM,241
19667,200 W SARATOGA ST,O,OTHER,111
19668,1300 HULL ST,I,OTHER,943
19669,500 RICHWOOD AVE,O,OTHER,524
19670,1400 N COLLINGTON AVE,I,HANDS,331
19671,1100 VALLEY ST,I,OTHER,311
19672,2100 N HOWARD ST,I,OTHER,514
19673,1800 BLOOMINGDALE RD,I,OTHER,813
19674,3500 BOSTON ST,I,OTHER,233
19675,0 S PACA ST,I,HANDS,121
19676,800 W PRATT ST,O,OTHER,931
19677,FAYETTE ST & N POPPLETON ST,O,OTHER,712
19678,1800 NORTHBOURNE RD,O,OTHER,415
19679,3600 ROGERS AVE,O,OTHER,623
19680,500 S MONTFORD AVE,O,OTHER,232
19681,400 E LANVALE ST,I,OTHER,311
19682,200 S DUNCAN ST,O,OTHER,212
19683,2200 BAKER ST,O,OTHER,723
19684,1500 WINDEMERE AVE,O,OTHER,412
19685,FALLS PY & N LONGWOOD ST,O,OTHER,641
19686,0 LIGHT ST,O,OTHER,111
19687,4100 PARKWOOD AVE,O,FIREARM,426
19688,600 GEORGE ST,O,OTHER,121
19689,5000 CORLEY RD,O,OTHER,821
19690,4000 FAIRFAX RD,O,OTHER,642
19691,1700 WILKENS AVE,O,OTHER,935
19692,6800 EASTERN AVE,O,OTHER,243
19693,800 N GLOVER ST,O,OTHER,323
19694,SARATOGA ST & N FULTON AV,O,OTHER,711
19695,5000 HARFORD RD,O,OTHER,426
19696,1000 CAMERON RD,O,OTHER,523
19697,2500 MCCULLOH ST,I,HANDS,733
19698,400 N HOWARD ST,I,OTHER,111
19699,1100 N CALVERT ST,I,OTHER,141
19700,800 N CHARLES ST,I,FIREARM,142
19701,2900 CLIFTON AVE,O,FIREARM,811
19702,3600 ELMLEY AVE,O,FIREARM,432
19703,800 W LOMBARD ST,O,OTHER,931
19704,6800 FAIRDEL AVE,O,OTHER,424
19705,800 N CAREY ST,I,OTHER,713
19706,400 ORCHARD ST,I,FIREARM,143
19707,4000 W GARRISON,I,OTHER,613
19708,0 N BRUCE ST,O,FIREARM,711
19709,1500 PENNSYLVANIA AVE,O,OTHER,123
19710,2800 W COLD SPRING LN,I,HANDS,613
19711,2800 W COLD SPRING LN,I,HANDS,613
19712,2800 W COLD SPRING LN,I,HANDS,613
19713,300 S BROADWAY,I,OTHER,213
19714,1400 RUSSELL ST,O,OTHER,941
19715,1400 RUSSELL ST,O,HANDS,941
19716,200 PARK AVE,I,KNIFE,111
19717,800 WASHINGTON BLVD,O,OTHER,932
19718,800 WASHINGTON BLVD,O,OTHER,932
19719,1500 WAVERLY WAY,I,OTHER,415
19720,4100 WESTCHESTER RD,O,OTHER,641
19721,300 SAINT PAUL PL,I,KNIFE,111
19722,3600 GARRISON BLVD,O,FIREARM,621
19723,1000 SHELLBANKS RD,I,OTHER,922
19724,1100 N MONROE ST,O,OTHER,722
19725,2100 W PATAPSCO AVE,I,OTHER,923
19726,3400 ANNAPOLIS RD,I,OTHER,922
19727,800 W PATAPSCO AVE,I,OTHER,922
19728,5700 WABASH AVE,I,OTHER,622
19729,3800 BONVIEW AVE,O,OTHER,432
19730,3000 BELAIR RD,O,OTHER,431
19731,800 HARLEM AVE,O,OTHER,123
19732,4400 FURLEY AVE,O,FIREARM,443
19733,4300 GREENHILL AVE,I,OTHER,442
19734,1300 N KENWOOD AVE,I,OTHER,332
19735,4600 PIMLICO RD,I,OTHER,614
19736,3100 WASHINGTON BLVD,O,OTHER,831
19737,2300 SIDNEY AVE,O,OTHER,921
19738,2600 W PATAPSCO AVE,O,OTHER,923
19739,300 EAST WEST ST,I,OTHER,942
19740,3200 BAKER ST,O,OTHER,813
19741,900 CATOR AVE,I,OTHER,542
19742,1400 BLOOMFIELD AVE,I,HANDS,832
19743,4200 VALLEY VIEW AVE,O,OTHER,443
19744,2400 W FRANKLIN ST,I,OTHER,842
19745,2900 ROUND RD,O,OTHER,922
19746,1900 W NORTH AVE,I,OTHER,741
19747,200 S PAYSON ST,O,OTHER,934
19748,3500 OAKMONT AVE,I,HANDS,614
19749,800 S BROADWAY,O,KNIFE,213
19750,2000 EAGLE ST,O,OTHER,934
19751,200 PARK AVE,I,OTHER,111
19752,200 PARK AVE,I,OTHER,111
19753,1100 E 36TH ST,O,FIREARM,412
19754,2500 ORLEANS ST,I,OTHER,221
19755,1000 N LUZERNE AVE,I,HANDS,323
19756,1000 S CHARLES ST,I,OTHER,942
19757,4200 PRIMROSE AVE,I,OTHER,631
19758,5600 FRANKFORD AVE,O,OTHER,444
19759,3000 E MONUMENT ST,I,OTHER,224
19760,2300 GUILFORD AVE,I,HANDS,341
19761,3900 CHESTERFIELD AVE,I,HANDS,432
19762,0 LIGHT ST,I,HANDS,111
19763,1100 NANTICOKE ST,I,OTHER,932
19764,1700 MCCULLOH ST,I,OTHER,123
19765,3700 S HANOVER ST,I,OTHER,913
19766,1300 TOWSON ST,I,OTHER,943
19767,800 RYAN,O,OTHER,932
19768,1600 RALWORTH RD,O,OTHER,412
19769,3200 E BALTIMORE ST,O,KNIFE,222
19770,3100 WALBROOK AVE,O,OTHER,811
19771,4600 CHATFORD AVE,O,OTHER,442
19772,1800 ORLEANS ST,I,HANDS,321
19773,4000 KATHLAND AVE,I,HANDS,621
19774,4100 KINSWAY,O,OTHER,425
19775,3500 BOSTON ST,I,OTHER,233
19776,300 CHARTER OAK AVE,O,OTHER,521
19777,600 E 33RD ST,I,OTHER,513
19778,2700 HAMILTON AVE,O,OTHER,423
19779,2400 LOYOLA NORTHWAY,O,OTHER,533
19780,2700 E FAIRMOUNT AVE,O,OTHER,222
19781,2100 WHISTLER AVE,O,OTHER,831
19782,4000 MAPLE SHADE DR,O,OTHER,433
19783,2300 WILKENS AVE,O,OTHER,841
19784,4800 LORELLY AVE,I,HANDS,443
19785,3600 ELMLEY AVE,O,OTHER,432
19786,5000 BELAIR RD,O,FIREARM,426
19787,1600 EDISON HWY,O,KNIFE,332
19788,4400 CHERRY BLOSSOM PL,O,OTHER,433
19789,100 N CLINTON ST,O,FIREARM,222
19790,1500 N PATTERSON PARK AVE,O,OTHER,331
19791,6400 ELRAY DR,O,OTHER,632
19792,1000 WHITELOCK ST,O,FIREARM,133
19793,2400 PENNSYLVANIA AVE,O,OTHER,733
19794,4300 ROBERTON AVE,I,FIREARM,442
19795,1000 N LUZERNE AVE,I,HANDS,323
19796,2900 BRIGHTON ST,I,OTHER,813
19797,1700 S NEWKIRK ST,O,OTHER,233
19798,3700 BEEHLER AVE,O,OTHER,614
19799,5100 YORK RD,O,KNIFE,524
19800,400 E 30TH ST,O,FIREARM,513
19801,2000 N SMALLWOOD ST,I,OTHER,731
19802,200 ROUNDHOUSE CT,O,OTHER,932
19803,5100 STAFFORD RD,O,OTHER,833
19804,700 N BELNORD AVE,O,FIREARM,323
19805,500 PARK AVE,I,OTHER,142
19806,1500 S CATON,I,OTHER,831
19807,5500 MINNOKA AVE,I,OTHER,623
19808,1100 W FRANKLIN ST,O,OTHER,713
19809,400 S EDEN,O,OTHER,211
19810,1600 PLUM ST,I,OTHER,911
19811,1600 PLUM ST,I,OTHER,911
19812,4000 MAPLE SHADE DR,O,OTHER,433
19813,2900 O''DONNELL ST,I,FIREARM,232
19814,3700 WOODHAVEN AVE,O,OTHER,642
19815,5400 HAMLIN AVE,O,OTHER,633
19816,2600 MADISON AVE,I,HANDS,133
19817,3100 SAINT PAUL ST,I,OTHER,512
19818,3300 RUECKERT AVE,O,HANDS,426
19819,2900 N CALVERT ST,I,OTHER,512
19820,3100 PULASKI HWY,I,OTHER,224
19821,700 N MADEIRA ST,I,OTHER,321
19822,400 N MONTFORD AVE,I,HANDS,221
19823,1500 HAVENWOOD RD,I,OTHER,412
19824,600 ARSAN AVE,O,OTHER,913
19825,300 W LEXINGTON ST,I,KNIFE,111
19826,300 W LEXINGTON ST,I,KNIFE,111
19827,300 LIGHT ST,I,OTHER,112
19828,4400 MAINE AVE,I,OTHER,622
19829,200 E PRATT ST,I,HANDS,112
19830,400 S PATTERSON PARK AVE,I,OTHER,212
19831,RD & N FOREST PARK AV,O,HANDS,821
19832,6300 EASTERN AVE,O,OTHER,242
19833,RD & N FOREST PARK AV,O,HANDS,821
19834,5600 THE ALAMEDA,I,OTHER,414
19835,500 W UNIVERSITY PKWY,I,OTHER,541
19836,900 W 36TH ST,I,OTHER,531
19837,0 N TREMONT RD,I,HANDS,822
19838,2300 EDMONDSON AVE,O,OTHER,721
19839,4000 W FOREST PARK AVE,I,OTHER,642
19840,300 N BROADWAY,I,OTHER,212
19841,0 W BALTIMORE ST,O,OTHER,111
19842,ST & SPONSON ST,O,OTHER,831
19843,ST & SPONSON ST,O,OTHER,831
19844,3500 BANK ST,I,HANDS,231
19845,4800 FREDERICK AVE,I,KNIFE,833
19846,2500 E FAYETTE ST,O,OTHER,221
19847,700 S CATON AVE,O,OTHER,832
19848,0 N CALVERT ST,O,OTHER,111
19849,500 LIGHT ST,O,OTHER,941
19850,1000 WILMOT CT,I,OTHER,312
19851,300 S PAYSON ST,I,OTHER,934
19852,3800 OAKFORD AVE,O,FIREARM,642
19853,400 DENISON ST,I,HANDS,843
19854,800 GLADE CT,I,OTHER,913
19855,800 GLADE CT,I,HANDS,913
19856,1700 W LAFAYETTE AVE,O,OTHER,743
19857,2200 ALLENDALE RD,O,OTHER,812
19858,1100 N CALHOUN ST,O,OTHER,743
19859,3600 GRANTLEY RD,O,OTHER,643
19860,400 E 25TH ST,I,OTHER,513
19861,400 S PULASKI ST,I,OTHER,934
19862,400 E BELVEDERE AVE,I,OTHER,523
19863,2200 WHITTIER AVE,O,OTHER,732
